rank,name,times_recommended,resolution_class,in_google_fonts,google_fonts_usage_rank
748,Adobe Garamond Premier Pro,1,known_non_google,no,
749,Dante MT Pro,1,not_yet_triaged,no,
750,Lexicon,1,not_yet_triaged,no,
751,Museo Sans Rounded,1,not_yet_triaged,no,
752,FOT-UD Maru Gothic Large,1,not_yet_triaged,no,
753,Fontworks UD Marugo Large,1,not_yet_triaged,no,
754,TP Sky Round,1,known_non_google_variant,no,
755,Filson Soft,1,not_yet_triaged,no,
756,Guardian Egyptian,1,not_yet_triaged,no,
757,Gen Jyuu Gothic,1,not_yet_triaged,no,
758,FOT-Seurat ProN,1,known_non_google_variant,no,
759,Faustina,1,exact,yes,304
760,Dalat,1,not_yet_triaged,no,
761,SVN-Gilroy,1,not_yet_triaged,no,
762,Mekong,1,not_yet_triaged,no,
763,Itim,1,exact,yes,507
764,Anek Greek,1,not_yet_triaged,no,
765,Anziano,1,not_yet_triaged,no,
766,Nocturno Text,1,not_yet_triaged,no,
767,Sina Nova,1,not_yet_triaged,no,
768,Apex Serif,1,not_yet_triaged,no,
769,Fengardo Neue,1,not_yet_triaged,no,
770,Nocturno,1,not_yet_triaged,no,
771,Alternate Gothic,1,not_yet_triaged,no,
772,DIN 2014 Cyrillic,1,known_non_google,no,
773,Plantin Pro,1,known_non_google_variant,no,
774,Adobe Garamond,1,not_yet_triaged,no,
775,Franklin Gothic,1,not_yet_triaged,no,
776,UD Digi Kyokasho N-R,1,known_non_google_variant,no,
777,A P-OTF RyuMin,1,not_yet_triaged,no,
778,Morisawa Shorai Sans,1,known_non_google,no,
779,Scala,1,not_yet_triaged,no,
780,Computer Modern,1,not_yet_triaged,no,
781,din-2014,1,known_non_google,no,
782,Kinuta Marumin Fuji,1,not_yet_triaged,no,
783,FOT-Kurokane,1,not_yet_triaged,no,
784,Signifier,1,not_yet_triaged,no,
785,Toppan Bunkyu Mincho,1,not_yet_triaged,no,
786,Pragma ND,1,not_yet_triaged,no,
787,Chivo,1,exact,yes,218
788,Red Hat Mono,1,exact,yes,475
789,PF Din Text,1,not_yet_triaged,no,
790,Dia,1,not_yet_triaged,no,
791,Sangbleu Republic,1,not_yet_triaged,no,
792,Freight Display Pro,1,not_yet_triaged,no,
793,Suisse Intl,1,known_non_google,no,
794,Suisse Int'l Cyrillic,1,known_non_google,no,
795,Suisse Intl Cyrillic,1,known_non_google,no,
796,ALS Sector,1,not_yet_triaged,no,
797,Golos,1,not_yet_triaged,no,
798,PP Neue Machina,1,known_non_google,no,
799,Interstate Condensed,1,known_non_google,no,
800,Interstate Bold Condensed,1,known_non_google,no,
801,Pragmatica Extended,1,known_non_google,no,
802,FF Info Display,1,not_yet_triaged,no,
803,e-Ukraine,1,not_yet_triaged,no,
804,Din Pro,1,known_non_google,no,
805,Frutiger Condensed Black,1,known_non_google,no,
806,Interstate Condensed Black,1,known_non_google,no,
807,Amplitude,1,not_yet_triaged,no,
808,Bureau Grot,1,not_yet_triaged,no,
809,Tabular Oldstyle (Paratype),1,not_yet_triaged,no,
810,Frutiger Neue,1,known_non_google_variant,no,
811,Textbook New,1,not_yet_triaged,no,
812,Suez One,1,exact,yes,457
813,Pangram Sans,1,not_yet_triaged,no,
814,GT America Micro,1,known_non_google_variant,no,
815,Chaparral Pro,1,not_yet_triaged,no,
816,Bookmania,1,not_yet_triaged,no,
817,Financier Display,1,not_yet_triaged,no,
818,Ruslan Display,1,exact,yes,780
819,Pobeda,1,not_yet_triaged,no,
820,Bandera Pro,1,known_non_google,no,
821,RF Dewi Extended,1,not_yet_triaged,no,
822,Intro,1,not_yet_triaged,no,
823,Gagalin,1,not_yet_triaged,no,
824,UD Shingo,1,known_non_google,no,
